,kde200,bower
X: 2016-07-01 00:00:00~2016-08-29 23:59:59 -> Y: 2016-08-30 00:00:00~2016-08-31 23:59:59,"[0.69999999999999996, 0.58360689906727115, 3.5000364754311915]","[0.69999999999999996, 0.58360689906727115, 3.5000364754311915]"
X: 2016-07-02 00:00:00~2016-08-30 23:59:59 -> Y: 2016-08-31 00:00:00~2016-09-01 23:59:59,"[0.55813953488372092, 0.50023448491480382, 2.7907267578188901]","[0.51162790697674421, 0.45854827783857016, 2.5581661946673164]"
X: 2016-07-03 00:00:00~2016-08-31 23:59:59 -> Y: 2016-09-01 00:00:00~2016-09-02 23:59:59,"[0.61702127659574468, 0.60445000260538795, 3.0851385345746065]","[0.5957446808510638, 0.58455114822546972, 2.9835739350597432]"
X: 2016-07-04 00:00:00~2016-09-01 23:59:59 -> Y: 2016-09-02 00:00:00~2016-09-03 23:59:59,"[0.77142857142857146, 0.56276379552915434, 3.8571830545568235]","[0.7142857142857143, 0.52107758845292063, 3.5714657912563181]"
X: 2016-07-05 00:00:00~2016-09-02 23:59:59 -> Y: 2016-09-03 00:00:00~2016-09-04 23:59:59,"[0.72972972972972971, 0.56276379552915434, 3.6486866732294274]","[0.78378378378378377, 0.60445000260538795, 3.9189597601353112]"
X: 2016-07-06 00:00:00~2016-09-03 23:59:59 -> Y: 2016-09-04 00:00:00~2016-09-05 23:59:59,"[0.6875, 0.45854827783857016, 3.4375358240842062]","[0.71875, 0.47939138137668702, 3.5937874524516702]"
X: 2016-07-07 00:00:00~2016-09-04 23:59:59 -> Y: 2016-09-05 00:00:00~2016-09-06 23:59:59,"[0.57692307692307687, 0.31264655307175238, 2.8846454467839489]","[0.69230769230769229, 0.3751758636861029, 3.4615745361407391]"
X: 2016-07-08 00:00:00~2016-09-05 23:59:59 -> Y: 2016-09-06 00:00:00~2016-09-07 23:59:59,"[0.5625, 0.3751758636861029, 2.8125293106143503]","[0.75, 0.50023448491480382, 3.7500390808191337]"
X: 2016-07-09 00:00:00~2016-09-06 23:59:59 -> Y: 2016-09-07 00:00:00~2016-09-08 23:59:59,"[0.57894736842105265, 0.45854827783857016, 2.894767009755121]","[0.65789473684210531, 0.52107758845292063, 3.2895079656308193]"
X: 2016-07-10 00:00:00~2016-09-07 23:59:59 -> Y: 2016-09-08 00:00:00~2016-09-09 23:59:59,"[0.47727272727272729, 0.43770517430045336, 2.3863885059758125]","[0.56818181818181823, 0.52107758845292063, 2.8409386975902531]"
X: 2016-07-11 00:00:00~2016-09-08 23:59:59 -> Y: 2016-09-09 00:00:00~2016-09-10 23:59:59,"[0.55102040816326525, 0.56276379552915434, 2.7551307532548734]","[0.59183673469387754, 0.60445000260538795, 2.9592145127552349]"
X: 2016-07-12 00:00:00~2016-09-09 23:59:59 -> Y: 2016-09-10 00:00:00~2016-09-11 23:59:59,"[0.59090909090909094, 0.54192069199103743, 2.9545762454938633]","[0.65909090909090906, 0.60445000260538795, 3.2954888892046932]"
X: 2016-07-13 00:00:00~2016-09-10 23:59:59 -> Y: 2016-09-11 00:00:00~2016-09-12 23:59:59,"[0.58490566037735847, 0.64613620968162155, 2.9245587800098907]","[0.660377358490566, 0.72950862383408888, 3.3019212032369731]"
X: 2016-07-14 00:00:00~2016-09-11 23:59:59 -> Y: 2016-09-12 00:00:00~2016-09-13 23:59:59,"[0.61818181818181817, 0.70866552029597207, 3.0909413029781954]","[0.70909090909090911, 0.8128810379865562, 3.5454914945926359]"
X: 2016-07-15 00:00:00~2016-09-12 23:59:59 -> Y: 2016-09-13 00:00:00~2016-09-14 23:59:59,"[0.5, 0.3960189672242197, 2.5000260538794228]","[0.5, 0.3960189672242197, 2.5000260538794228]"
X: 2016-07-16 00:00:00~2016-09-13 23:59:59 -> Y: 2016-09-14 00:00:00~2016-09-15 23:59:59,"[0.56756756756756754, 0.43770517430045336, 2.8378674125117769]","[0.51351351351351349, 0.3960189672242197, 2.5675943256058935]"
X: 2016-07-17 00:00:00~2016-09-14 23:59:59 -> Y: 2016-09-15 00:00:00~2016-09-16 23:59:59,"[0.52000000000000002, 0.54192069199103743, 2.6000270960345997]","[0.5, 0.5214308061320263, 2.5017207216602357]"
X: 2016-07-18 00:00:00~2016-09-15 23:59:59 -> Y: 2016-09-16 00:00:00~2016-09-17 23:59:59,"[0.45833333333333331, 0.45854827783857016, 2.2916905493894708]","[0.45833333333333331, 0.45859607066548547, 2.2919294039988185]"
X: 2016-07-19 00:00:00~2016-09-16 23:59:59 -> Y: 2016-09-17 00:00:00~2016-09-18 23:59:59,"[0.58333333333333337, 0.43770517430045336, 2.9166970628593267]","[0.52777777777777779, 0.3960189672242197, 2.6389163902060573]"
X: 2016-07-20 00:00:00~2016-09-17 23:59:59 -> Y: 2016-09-18 00:00:00~2016-09-19 23:59:59,"[0.67567567567567566, 0.52107758845292063, 3.378413586323544]","[0.6216216216216216, 0.47939138137668702, 3.1081404994176602]"
X: 2016-07-21 00:00:00~2016-09-18 23:59:59 -> Y: 2016-09-19 00:00:00~2016-09-20 23:59:59,"[0.73333333333333328, 0.68782241675785527, 3.6667048790231531]","[0.68888888888888888, 0.64620355411954766, 3.4448393466164062]"
X: 2016-07-22 00:00:00~2016-09-19 23:59:59 -> Y: 2016-09-20 00:00:00~2016-09-21 23:59:59,"[0.65957446808510634, 0.64613620968162155, 3.2979067093728549]","[0.51063829787234039, 0.50023448491480382, 2.5532180975789847]"
X: 2016-07-23 00:00:00~2016-09-20 23:59:59 -> Y: 2016-09-21 00:00:00~2016-09-22 23:59:59,"[0.54545454545454541, 0.62529310614350475, 2.7273011496866428]","[0.47272727272727272, 0.54192069199103743, 2.3636609963950903]"
X: 2016-07-24 00:00:00~2016-09-21 23:59:59 -> Y: 2016-09-22 00:00:00~2016-09-23 23:59:59,"[0.66666666666666663, 0.833724141524673, 3.3333680718392298]","[0.65000000000000002, 0.81322003857582237, 3.2513892508992339]"
X: 2016-07-25 00:00:00~2016-09-22 23:59:59 -> Y: 2016-09-23 00:00:00~2016-09-24 23:59:59,"[0.6875, 0.68782241675785527, 3.4375358240842062]","[0.6875, 0.68782241675785527, 3.4375358240842062]"
X: 2016-07-26 00:00:00~2016-09-23 23:59:59 -> Y: 2016-09-24 00:00:00~2016-09-25 23:59:59,"[0.67391304347826086, 0.64613620968162155, 3.3696003334896565]","[0.63043478260869568, 0.60445000260538795, 3.1522067635870981]"
X: 2016-07-27 00:00:00~2016-09-24 23:59:59 -> Y: 2016-09-25 00:00:00~2016-09-26 23:59:59,"[0.63636363636363635, 0.58360689906727115, 3.1818513413010834]","[0.56818181818181823, 0.52107758845292063, 2.8409386975902531]"
X: 2016-07-28 00:00:00~2016-09-25 23:59:59 -> Y: 2016-09-26 00:00:00~2016-09-27 23:59:59,"[0.57777777777777772, 0.54192069199103743, 2.8889189955939991]","[0.59999999999999998, 0.56276379552915434, 3.0000312646553069]"
X: 2016-07-29 00:00:00~2016-09-26 23:59:59 -> Y: 2016-09-27 00:00:00~2016-09-28 23:59:59,"[0.66666666666666663, 0.62529310614350475, 3.3333680718392298]","[0.71111111111111114, 0.66732704238569418, 3.5574463155089817]"
X: 2016-07-30 00:00:00~2016-09-27 23:59:59 -> Y: 2016-09-28 00:00:00~2016-09-29 23:59:59,"[0.69387755102040816, 0.70866552029597207, 3.4694239115061376]","[0.67346938775510201, 0.68782241675785527, 3.3673820317559566]"
X: 2016-07-31 00:00:00~2016-09-28 23:59:59 -> Y: 2016-09-29 00:00:00~2016-09-30 23:59:59,"[0.71999999999999997, 0.75035172737220579, 3.6000375175863684]","[0.69999999999999996, 0.72950862383408888, 3.5000364754311915]"
X: 2016-08-01 00:00:00~2016-09-29 23:59:59 -> Y: 2016-09-30 00:00:00~2016-10-01 23:59:59,"[0.61363636363636365, 0.56276379552915434, 3.0682137933974731]","[0.70454545454545459, 0.64613620968162155, 3.5227639850119137]"
X: 2016-08-02 00:00:00~2016-09-30 23:59:59 -> Y: 2016-10-01 00:00:00~2016-10-02 23:59:59,"[0.55555555555555558, 0.4168620707623365, 2.7778067265326918]","[0.55555555555555558, 0.4168620707623365, 2.7778067265326918]"
X: 2016-08-03 00:00:00~2016-10-01 23:59:59 -> Y: 2016-10-02 00:00:00~2016-10-03 23:59:59,"[0.52000000000000002, 0.27096034599551871, 2.6000270960345997]","[0.56000000000000005, 0.29180344953363557, 2.8000291803449535]"
X: 2016-08-04 00:00:00~2016-10-02 23:59:59 -> Y: 2016-10-03 00:00:00~2016-10-04 23:59:59,"[0.48888888888888887, 0.45854827783857016, 2.4444699193487689]","[0.55555555555555558, 0.5214308061320263, 2.7796896907335955]"
X: 2016-08-05 00:00:00~2016-10-03 23:59:59 -> Y: 2016-10-04 00:00:00~2016-10-05 23:59:59,"[0.5535714285714286, 0.64613620968162155, 2.7678859882236466]","[0.5357142857142857, 0.62529310614350475, 2.6785993434422384]"
X: 2016-08-06 00:00:00~2016-10-04 23:59:59 -> Y: 2016-10-05 00:00:00~2016-10-06 23:59:59,"[0.66666666666666663, 0.58360689906727115, 3.3333680718392298]","[0.59523809523809523, 0.52107758845292063, 2.9762214927135981]"
X: 2016-08-07 00:00:00~2016-10-05 23:59:59 -> Y: 2016-10-06 00:00:00~2016-10-07 23:59:59,"[0.61904761904761907, 0.54192069199103743, 3.0952703524221423]","[0.6428571428571429, 0.56276379552915434, 3.2143192121306865]"
X: 2016-08-08 00:00:00~2016-10-06 23:59:59 -> Y: 2016-10-07 00:00:00~2016-10-08 23:59:59,"[0.60869565217391308, 0.58360689906727115, 3.0435099786358188]","[0.69565217391304346, 0.66697931321973847, 3.4782971184409357]"
X: 2016-08-09 00:00:00~2016-10-07 23:59:59 -> Y: 2016-10-08 00:00:00~2016-10-09 23:59:59,"[0.66666666666666663, 0.54192069199103743, 3.3333680718392298]","[0.79487179487179482, 0.64620355411954766, 3.9748146307112378]"
X: 2016-08-10 00:00:00~2016-10-08 23:59:59 -> Y: 2016-10-09 00:00:00~2016-10-10 23:59:59,"[0.60465116279069764, 0.54192069199103743, 3.0232873209704643]","[0.65116279069767447, 0.58360689906727115, 3.2558478841220388]"
X: 2016-08-11 00:00:00~2016-10-09 23:59:59 -> Y: 2016-10-10 00:00:00~2016-10-11 23:59:59,"[0.51851851851851849, 0.58360689906727115, 2.592619611430512]","[0.53703703703703709, 0.60445000260538795, 2.6852131689816021]"
X: 2016-08-12 00:00:00~2016-10-10 23:59:59 -> Y: 2016-10-11 00:00:00~2016-10-12 23:59:59,"[0.63461538461538458, 0.68782241675785527, 3.173109991462344]","[0.65384615384615385, 0.70866552029597207, 3.2692648396884758]"
X: 2016-08-13 00:00:00~2016-10-11 23:59:59 -> Y: 2016-10-12 00:00:00~2016-10-13 23:59:59,"[0.74509803921568629, 0.7920379344484394, 3.7255290214673749]","[0.70588235294117652, 0.75035172737220579, 3.5294485466533025]"
X: 2016-08-14 00:00:00~2016-10-12 23:59:59 -> Y: 2016-10-13 00:00:00~2016-10-14 23:59:59,"[0.70175438596491224, 0.833724141524673, 3.5088084966728736]","[0.66666666666666663, 0.7920379344484394, 3.3333680718392298]"
X: 2016-08-15 00:00:00~2016-10-13 23:59:59 -> Y: 2016-10-14 00:00:00~2016-10-15 23:59:59,"[0.5625, 0.56276379552915434, 2.8125293106143503]","[0.58333333333333337, 0.58360689906727115, 2.9166970628593267]"
X: 2016-08-16 00:00:00~2016-10-14 23:59:59 -> Y: 2016-10-15 00:00:00~2016-10-16 23:59:59,"[0.54285714285714282, 0.3960189672242197, 2.7143140013548015]","[0.5714285714285714, 0.41930918811258455, 2.8739451753236542]"
X: 2016-08-17 00:00:00~2016-10-15 23:59:59 -> Y: 2016-10-16 00:00:00~2016-10-17 23:59:59,"[0.69387755102040816, 0.70866552029597207, 3.4694239115061376]","[0.67346938775510201, 0.68782241675785527, 3.3673820317559566]"
X: 2016-08-18 00:00:00~2016-10-16 23:59:59 -> Y: 2016-10-17 00:00:00~2016-10-18 23:59:59,"[0.75555555555555554, 0.70866552029597207, 3.7778171480844609]","[0.73333333333333328, 0.69138906348208673, 3.6857182764159506]"
X: 2016-08-19 00:00:00~2016-10-17 23:59:59 -> Y: 2016-10-18 00:00:00~2016-10-19 23:59:59,"[0.74358974358974361, 0.60445000260538795, 3.7179874647437567]","[0.76923076923076927, 0.62529310614350475, 3.8461939290452656]"
X: 2016-08-20 00:00:00~2016-10-18 23:59:59 -> Y: 2016-10-19 00:00:00~2016-10-20 23:59:59,"[0.6785714285714286, 0.7920379344484394, 3.3928925016935021]","[0.5892857142857143, 0.68782241675785527, 2.9464592777864627]"
X: 2016-08-21 00:00:00~2016-10-19 23:59:59 -> Y: 2016-10-20 00:00:00~2016-10-21 23:59:59,"[0.660377358490566, 0.72950862383408888, 3.3019212032369731]","[0.58490566037735847, 0.64637197664720603, 2.9256259146773256]"
X: 2016-08-22 00:00:00~2016-10-20 23:59:59 -> Y: 2016-10-21 00:00:00~2016-10-22 23:59:59,"[0.59523809523809523, 0.52107758845292063, 2.9762214927135981]","[0.61904761904761907, 0.54192069199103743, 3.0952703524221423]"
X: 2016-08-23 00:00:00~2016-10-21 23:59:59 -> Y: 2016-10-22 00:00:00~2016-10-23 23:59:59,"[0.51515151515151514, 0.35433276014798604, 2.575784419148496]","[0.5757575757575758, 0.3960189672242197, 2.8788178802247897]"
X: 2016-08-24 00:00:00~2016-10-22 23:59:59 -> Y: 2016-10-23 00:00:00~2016-10-24 23:59:59,"[0.67500000000000004, 0.56276379552915434, 3.3750351727372205]","[0.67500000000000004, 0.56276379552915434, 3.3750351727372205]"
X: 2016-08-25 00:00:00~2016-10-23 23:59:59 -> Y: 2016-10-24 00:00:00~2016-10-25 23:59:59,"[0.5901639344262295, 0.75035172737220579, 2.9508504242511218]","[0.63934426229508201, 0.81305050294470216, 3.1974210680558133]"
X: 2016-08-26 00:00:00~2016-10-24 23:59:59 -> Y: 2016-10-25 00:00:00~2016-10-26 23:59:59,"[0.57407407407407407, 0.64613620968162155, 2.8704002840837815]","[0.61111111111111116, 0.68782241675785527, 3.0555873991859612]"
X: 2016-08-27 00:00:00~2016-10-25 23:59:59 -> Y: 2016-10-26 00:00:00~2016-10-27 23:59:59,"[0.67346938775510201, 0.68782241675785527, 3.3673820317559566]","[0.67346938775510201, 0.68782241675785527, 3.3673820317559566]"
X: 2016-08-28 00:00:00~2016-10-26 23:59:59 -> Y: 2016-10-27 00:00:00~2016-10-28 23:59:59,"[0.67924528301886788, 0.75035172737220579, 3.3962618090437435]","[0.69811320754716977, 0.77139580944438657, 3.491512089200262]"
X: 2016-08-29 00:00:00~2016-10-27 23:59:59 -> Y: 2016-10-28 00:00:00~2016-10-29 23:59:59,"[0.63414634146341464, 0.54192069199103743, 3.1707647512617068]","[0.58536585365853655, 0.50023448491480382, 2.9268597703954216]"
X: 2016-08-30 00:00:00~2016-10-28 23:59:59 -> Y: 2016-10-29 00:00:00~2016-10-30 23:59:59,"[0.6216216216216216, 0.47939138137668702, 3.1081404994176602]","[0.48648648648648651, 0.3751758636861029, 2.4324577821529521]"
X: 2016-08-31 00:00:00~2016-10-29 23:59:59 -> Y: 2016-10-30 00:00:00~2016-10-31 23:59:59,"[0.59090909090909094, 0.54192069199103743, 2.9545762454938633]","[0.54545454545454541, 0.50023448491480382, 2.7273011496866428]"
X: 2016-09-01 00:00:00~2016-10-30 23:59:59 -> Y: 2016-10-31 00:00:00~2016-11-01 23:59:59,"[0.64583333333333337, 0.64613620968162155, 3.2292003195942542]","[0.60416666666666663, 0.60445000260538795, 3.0208648151043023]"
X: 2016-09-02 00:00:00~2016-10-31 23:59:59 -> Y: 2016-11-01 00:00:00~2016-11-02 23:59:59,"[0.67307692307692313, 0.72950862383408888, 3.3654196879146077]","[0.61538461538461542, 0.66697931321973847, 3.0769551432362126]"
X: 2016-09-03 00:00:00~2016-11-01 23:59:59 -> Y: 2016-11-02 00:00:00~2016-11-03 23:59:59,"[0.65116279069767447, 0.58360689906727115, 3.2558478841220388]","[0.62790697674418605, 0.56276379552915434, 3.1395676025462516]"
X: 2016-09-04 00:00:00~2016-11-02 23:59:59 -> Y: 2016-11-03 00:00:00~2016-11-04 23:59:59,"[0.51063829787234039, 0.50023448491480382, 2.5532180975789847]","[0.53191489361702127, 0.52110474205315271, 2.6597407781091662]"
X: 2016-09-05 00:00:00~2016-11-03 23:59:59 -> Y: 2016-11-04 00:00:00~2016-11-05 23:59:59,"[0.52941176470588236, 0.56276379552915434, 2.6470864099899769]","[0.52941176470588236, 0.56288111742325531, 2.6476382599738182]"
X: 2016-09-06 00:00:00~2016-11-04 23:59:59 -> Y: 2016-11-05 00:00:00~2016-11-06 23:59:59,"[0.61904761904761907, 0.54192069199103743, 3.0952703524221423]","[0.6428571428571429, 0.56276379552915434, 3.2143192121306865]"
X: 2016-09-07 00:00:00~2016-11-05 23:59:59 -> Y: 2016-11-06 00:00:00~2016-11-07 23:59:59,"[0.63888888888888884, 0.47939138137668702, 3.1944777355125953]","[0.63888888888888884, 0.47976637463496041, 3.1969765447550178]"
X: 2016-09-08 00:00:00~2016-11-06 23:59:59 -> Y: 2016-11-07 00:00:00~2016-11-08 23:59:59,"[0.58823529411764708, 0.4168620707623365, 2.9412071222110856]","[0.5, 0.35433276014798604, 2.5000260538794228]"
X: 2016-09-09 00:00:00~2016-11-07 23:59:59 -> Y: 2016-11-08 00:00:00~2016-11-09 23:59:59,"[0.54000000000000004, 0.56276379552915434, 2.7000281381897766]","[0.56000000000000005, 0.5836373110995311, 2.8001750911933301]"
X: 2016-09-10 00:00:00~2016-11-08 23:59:59 -> Y: 2016-11-09 00:00:00~2016-11-10 23:59:59,"[0.62068965517241381, 0.75035172737220579, 3.1034806186089385]","[0.63793103448275867, 0.77119483091032259, 3.1896884135702979]"
X: 2016-09-11 00:00:00~2016-11-09 23:59:59 -> Y: 2016-11-10 00:00:00~2016-11-11 23:59:59,"[0.62745098039215685, 0.66697931321973847, 3.1372875970251579]","[0.60784313725490191, 0.64613620968162155, 3.0392473596181215]"
X: 2016-09-12 00:00:00~2016-11-10 23:59:59 -> Y: 2016-11-11 00:00:00~2016-11-12 23:59:59,"[0.65000000000000002, 0.54192069199103743, 3.2500338700432496]","[0.69999999999999996, 0.58360689906727115, 3.5000364754311915]"
X: 2016-09-13 00:00:00~2016-11-11 23:59:59 -> Y: 2016-11-12 00:00:00~2016-11-13 23:59:59,"[0.63636363636363635, 0.43770517430045336, 3.1818513413010834]","[0.78787878787878785, 0.54192069199103743, 3.9394349939918172]"
X: 2016-09-14 00:00:00~2016-11-12 23:59:59 -> Y: 2016-11-13 00:00:00~2016-11-14 23:59:59,"[0.61764705882352944, 0.43770517430045336, 3.0882674783216397]","[0.76470588235294112, 0.54192069199103743, 3.8235692588744108]"
X: 2016-09-15 00:00:00~2016-11-13 23:59:59 -> Y: 2016-11-14 00:00:00~2016-11-15 23:59:59,"[0.68421052631578949, 0.54192069199103743, 3.4210882842560522]","[0.68421052631578949, 0.54192069199103743, 3.4210882842560522]"
X: 2016-09-16 00:00:00~2016-11-14 23:59:59 -> Y: 2016-11-15 00:00:00~2016-11-16 23:59:59,"[0.76923076923076927, 0.62529310614350475, 3.8461939290452656]","[0.79487179487179482, 0.64613620968162155, 3.974400393346774]"
X: 2016-09-17 00:00:00~2016-11-15 23:59:59 -> Y: 2016-11-16 00:00:00~2016-11-17 23:59:59,"[0.660377358490566, 0.72950862383408888, 3.3019212032369731]","[0.660377358490566, 0.72950862383408888, 3.3019212032369731]"
X: 2016-09-18 00:00:00~2016-11-16 23:59:59 -> Y: 2016-11-17 00:00:00~2016-11-18 23:59:59,"[0.52173913043478259, 0.75035172737220579, 2.608722838830702]","[0.50724637681159424, 0.72950862383408888, 2.536258315529849]"
X: 2016-09-19 00:00:00~2016-11-17 23:59:59 -> Y: 2016-11-18 00:00:00~2016-11-19 23:59:59,"[0.46938775510204084, 0.47939138137668702, 2.3469632342541518]","[0.51020408163265307, 0.52107758845292063, 2.5510469937545128]"
X: 2016-09-20 00:00:00~2016-11-18 23:59:59 -> Y: 2016-11-19 00:00:00~2016-11-20 23:59:59,"[0.52000000000000002, 0.27096034599551871, 2.6000270960345997]","[0.47999999999999998, 0.25011724245740191, 2.4000250117242454]"
X: 2016-09-21 00:00:00~2016-11-19 23:59:59 -> Y: 2016-11-20 00:00:00~2016-11-21 23:59:59,"[0.4642857142857143, 0.27096034599551871, 2.3214527643166067]","[0.4642857142857143, 0.27096034599551871, 2.3214527643166067]"
X: 2016-09-22 00:00:00~2016-11-20 23:59:59 -> Y: 2016-11-21 00:00:00~2016-11-22 23:59:59,"[0.47222222222222221, 0.35433276014798604, 2.3611357175527878]","[0.52777777777777779, 0.39603960396039611, 2.6390539053905391]"
X: 2016-09-23 00:00:00~2016-11-21 23:59:59 -> Y: 2016-11-22 00:00:00~2016-11-23 23:59:59,"[0.69811320754716977, 0.77119483091032259, 3.4906024148505144]","[0.60377358490566035, 0.66711836139052483, 3.0195287493202452]"
X: 2016-09-24 00:00:00~2016-11-22 23:59:59 -> Y: 2016-11-23 00:00:00~2016-11-24 23:59:59,"[0.82978723404255317, 0.8128810379865562, 4.1489794085658502]","[0.74468085106382975, 0.72950862383408888, 3.7234430589693526]"
X: 2016-09-25 00:00:00~2016-11-23 23:59:59 -> Y: 2016-11-24 00:00:00~2016-11-25 23:59:59,"[0.7142857142857143, 0.52107758845292063, 3.5714657912563181]","[0.77142857142857146, 0.56276379552915434, 3.8571830545568235]"
X: 2016-09-26 00:00:00~2016-11-24 23:59:59 -> Y: 2016-11-25 00:00:00~2016-11-26 23:59:59,"[0.58974358974358976, 0.47939138137668702, 2.9487486789347037]","[0.66666666666666663, 0.54192069199103743, 3.3333680718392298]"
X: 2016-09-27 00:00:00~2016-11-25 23:59:59 -> Y: 2016-11-26 00:00:00~2016-11-27 23:59:59,"[0.69999999999999996, 0.58360689906727115, 3.5000364754311915]","[0.80000000000000004, 0.66697931321973847, 4.0000416862070765]"
X: 2016-09-28 00:00:00~2016-11-26 23:59:59 -> Y: 2016-11-27 00:00:00~2016-11-28 23:59:59,"[0.60416666666666663, 0.60445000260538795, 3.0208648151043023]","[0.66666666666666663, 0.66704883005888793, 3.3337154967255542]"
X: 2016-09-29 00:00:00~2016-11-27 23:59:59 -> Y: 2016-11-28 00:00:00~2016-11-29 23:59:59,"[0.57777777777777772, 0.54192069199103743, 2.8889189955939991]","[0.57777777777777772, 0.54192069199103743, 2.8889189955939991]"
X: 2016-09-30 00:00:00~2016-11-28 23:59:59 -> Y: 2016-11-29 00:00:00~2016-11-30 23:59:59,"[0.64102564102564108, 0.52107758845292063, 3.2051616075377214]","[0.66666666666666663, 0.54192069199103743, 3.3333680718392298]"
X: 2016-10-01 00:00:00~2016-11-29 23:59:59 -> Y: 2016-11-30 00:00:00~2016-12-01 23:59:59,"[0.5957446808510638, 0.58360689906727115, 2.9787544471754823]","[0.5957446808510638, 0.5836373110995311, 2.978909671482266]"
X: 2016-10-02 00:00:00~2016-11-30 23:59:59 -> Y: 2016-12-01 00:00:00~2016-12-02 23:59:59,"[0.58139534883720934, 0.52107758845292063, 2.9070070393946774]","[0.55813953488372092, 0.50044310066204456, 2.7918905911120433]"
X: 2016-10-03 00:00:00~2016-12-01 23:59:59 -> Y: 2016-12-02 00:00:00~2016-12-03 23:59:59,"[0.66666666666666663, 0.50023448491480382, 3.3333680718392298]","[0.75, 0.56276379552915434, 3.7500390808191337]"
X: 2016-10-04 00:00:00~2016-12-02 23:59:59 -> Y: 2016-12-03 00:00:00~2016-12-04 23:59:59,"[0.78378378378378377, 0.60445000260538795, 3.9189597601353112]","[0.83783783783783783, 0.64613620968162155, 4.189232847041195]"
X: 2016-10-05 00:00:00~2016-12-03 23:59:59 -> Y: 2016-12-04 00:00:00~2016-12-05 23:59:59,"[0.72499999999999998, 0.60445000260538795, 3.6250377781251628]","[0.80000000000000004, 0.66701406982803546, 4.0002501302761857]"
X: 2016-10-06 00:00:00~2016-12-04 23:59:59 -> Y: 2016-12-05 00:00:00~2016-12-06 23:59:59,"[0.51162790697674421, 0.45854827783857016, 2.5581661946673164]","[0.62790697674418605, 0.56276379552915434, 3.1395676025462516]"
X: 2016-10-07 00:00:00~2016-12-05 23:59:59 -> Y: 2016-12-06 00:00:00~2016-12-07 23:59:59,"[0.51111111111111107, 0.47939138137668702, 2.5555821884100762]","[0.57777777777777772, 0.54192069199103743, 2.8889189955939991]"
X: 2016-10-08 00:00:00~2016-12-06 23:59:59 -> Y: 2016-12-07 00:00:00~2016-12-08 23:59:59,"[0.6785714285714286, 0.7920379344484394, 3.3928925016935021]","[0.7142857142857143, 0.833724141524673, 3.5714657912563181]"
